[COT 2022-3M-11 18:33:12] 76561198280627555: Set GodMode To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:33:12] 76561198280627555: Set UnlimitedAmmo To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:34:28] 76561198280627555: Healed [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:36:34] 76561198280627555: Set GodMode To false [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:36:34] 76561198280627555: Set UnlimitedAmmo To false [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:39:9s] 76561198280627555: Set UnlimitedAmmo To true [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:39:11] 76561198280627555: Healed [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 18:42:31] 76561198280627555: Teleported to position <11961.144531, 59.064880, 8919.061523>
[COT 2022-3M-11 19:6m:56] 76561198280627555: Healed [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 19:49:27] 76561198280627555: Spawned Entity 20rd CR-61 Mag (Mag_CZ61_20Rnd<a8fdd320>, 1, 100) at <12057.429688, 57.917755, 9064.533203>
[COT 2022-3M-11 20:28:6s] 76561198280627555: Set UnlimitedAmmo To false [guid=8LvGhHFymDZ8tPe6xC8rQBSz7ZEMOTsZXNPEuvP5LwM=]
[COT 2022-3M-11 20:29:10] 76561198280627555: Spawned Entity Universal Flashlight (UniversalLight<bfdd13a0>, -1, 70) at <10438.956055, 179.985291, 9148.988281>
[COT 2022-3M-11 20:30:8s] 76561198280627555: Spawned Entity 9V Battery (Battery9V<efc1c700>, 50, 20) at <10438.956055, 179.985291, 9148.988281>
[COT 2022-3M-11 20:30:8s] 76561198280627555: Spawned Entity 9V Battery (Battery9V<efc1f1d0>, 50, 20) at <10438.956055, 179.985291, 9148.988281>
[COT 2022-3M-11 20:30:8s] 76561198280627555: Spawned Entity 9V Battery (Battery9V<efc21410>, 50, 20) at <10438.956055, 179.985291, 9148.988281>
[COT 2022-3M-11 20:30:9s] 76561198280627555: Spawned Entity 9V Battery (Battery9V<efc1be70>, 50, 20) at <10438.956055, 179.985291, 9148.988281>
[COT 2022-3M-11 20:30:9s] 76561198280627555: Spawned Entity 9V Battery (Battery9V<efc1a4c0>, 50, 20) at <10438.956055, 179.985291, 9148.988281>
[COT 2022-3M-11 20:30:9s] 76561198280627555: Spawned Entity 9V Battery (Battery9V<efc25890>, 50, 20) at <10438.956055, 179.985291, 9148.988281>
[COT 2022-3M-11 20:43:39] 76561198280627555: Spawned Entity Glow Stick (Chemlight_White<ceacde50>, 100, 20) at <10468.011719, 178.564880, 9154.151367>
[COT 2022-3M-11 20:43:39] 76561198280627555: Spawned Entity Glow Stick (Chemlight_White<ceacf800>, 100, 20) at <10468.011719, 178.564880, 9154.151367>
[COT 2022-3M-11 22:10:26] 76561198280627555: Spawned Entity Blood Test Kit (BloodTestKit<f4893c50>, -1, 15) at <7003.186523, 361.387024, 8670.282227>
[COT 2022-3M-11 22:16:20] 76561198280627555: Spawned Entity Firewood (Firewood<c9574b40>, 1, 500) at <6637.651855, 378.083038, 8582.769531>
